TruckPerRoute,PackageNumber,DistancePerRoute,CostPerRoute
2,1142.1045366,60.8620629999981,443.448251999992
2,1066.666229,67.080333,468.321332
1,840.0030854,38.9565760000002,177.913152
2,1049.08108384,46.6353639999995,386.541455999998
1,890.25569908,37.2945789999987,174.589157999997
1,872.74154152,42.8490660000001,185.698132
1,966.91473031,38.4418190000003,176.883638000001
2,1389.6079661,41.8465990000001,367.386396
1,827.5261995,25.5117570000002,151.023514
1,920.6902974,19.5977709999994,139.195541999999
1,924.4045595,18.2767469999993,136.553493999999
1,937.36177565,34.3341859999999,168.668372
1,822.7654042,14.5162560000003,129.032512000001
1,982.596426,13.1129350000009,126.225870000002
1,982.6136079,10.8126279999991,121.625255999998
1,982.6343564,25.3967090000004,150.793418000001
1,982.5960786,17.5201820000007,135.040364000001
1,473.4306651,7.47490499999975,114.94981
1,593.4504932,7.5138409999991,115.027681999998
1,593.5600911,6.58398200000027,113.167964000001
1,769.9858116,16.1487609999996,132.297521999999
1,769.8093352,8.0095790000005,116.019158000001
1,413.8918637,9.20323100000073,118.406462000001
1,903.078471,25.8506830000008,151.701366000002
1,903.2190662,29.2526710000009,158.505342000002
1,703.2352048,5.06823499999911,110.136469999998
